time,low,high,open,close,volume,difficulty,sentiment_medio,google_trend,greed_and_fear
2022-08-30,19540.14,20582.64,20286.95,19813.17,46462.27938622,28351606743494.0,0.0367758316179641,28.0,27
2022-08-29,19545.57,20427.19,19552.31,20286.97,33436.35652183,28351606743494.0,0.0725818754877364,30.0,24
2022-08-28,19513.74,20164.26,20035.3,19554.03,17117.31912737,28351606743494.0,0.0502309122309122,25.0,28
2022-08-27,19800.0,20389.14,20240.63,20036.69,22160.97938125,28351606743494.0,0.0755310957047068,28.0,28
2022-08-26,20112.78,21878.05,21561.49,20240.72,37169.02639568,28351606743494.0,0.0639900173413331,27.0,27
2022-08-25,21307.32,21818.32,21367.12,21561.86,17065.2835044,28351606743494.0,0.0556863706890078,24.0,25
2022-08-24,21147.41,21925.0,21526.74,21367.12,22538.91385671,28351606743494.0,0.0458178287433606,24.0,25
2022-08-23,20889.69,21679.52,21396.37,21528.34,22744.05096265,28351606743494.0,0.0376966279205008,26.0,28
2022-08-22,20889.69,21540.0,21514.45,21398.25,26215.93682469,28351606743494.0,0.0787597195878118,27.0,29
2022-08-21,21067.33,21795.08,21139.22,21518.62,16024.82128336,28351606743494.0,0.063632506237975,25.0,27
2022-08-20,20760.93,21372.93,20834.94,21139.23,21809.4048831,28351606743494.0,0.1424812906442885,26.0,29
2022-08-19,20782.39,23206.76,23188.94,20834.94,45962.7257428,28351606743494.0,0.0905719978057504,31.0,33
2022-08-18,23107.27,23600.0,23344.42,23189.46,13825.6308966,28275424991711.293,0.0628328795154425,26.0,30
2022-08-17,23180.14,24448.49,23857.89,23341.17,22747.43895287,28174668481289.0,0.0703982999535516,26.0,41
2022-08-16,23668.0,24253.98,24099.7,23857.93,19601.90580439,28174668481289.0,0.1991396292573072,26.0,44
2022-08-15,23777.0,25214.57,24316.58,24097.82,27821.25610894,28174668481289.0,0.1524515279515276,28.0,45
2022-08-14,24151.63,25054.1,24456.17,24316.71,23306.17100393,28174668481289.0,0.1257491453558193,26.0,47
2022-08-13,24302.36,24898.91,24415.08,24456.49,13678.30446343,28174668481289.0,0.0973915692988524,25.0,46
2022-08-12,23600.01,24463.01,23944.85,24415.18,17244.15100332,28174668481289.0,0.0482483808459961,27.0,42
2022-08-11,23862.66,24929.99,23959.3,23944.86,29681.35922757,28174668481289.0,0.0700940340523673,29.0,41
2022-08-10,22666.23,24224.67,23158.32,23962.18,25974.49772434,28174668481289.0,0.0412695563347964,29.0,31
2022-08-09,22871.66,23929.35,23815.68,23158.27,22349.07822206,28174668481289.0,0.0635027085027085,27.0,42
2022-08-08,23158.32,24251.08,23180.26,23815.65,24093.33217697,28174668481289.0,0.0921268818523973,29.0,30
2022-08-07,22852.13,23405.02,22960.86,23177.39,8297.19227173,28174668481289.0,0.1072782038147467,24.0,30
2022-08-06,22917.49,23357.19,23320.71,22960.93,9285.19244923,28174668481289.0,0.1490846743005111,24.0,31
